Name;Year;ConflictSide;AllStrength;AllLosses;Ratio
Battle of Wisternitz;1619;0;3500;700;0.2000000000000000000
Battle of Long Island;1776;0;10000;2000;0.2000000000000000000
Battle of Mbwila;1665;0;25000;5000;0.2000000000000000000
Battle of Methven;1306;1;3000;600;0.2000000000000000000
Battle of Lunalonge;1349;0;1500;300;0.2000000000000000000
Battle of Keresztes;1596;0;100000;20000;0.2000000000000000000
Battle of Petrovaradin;1716;1;150000;30000;0.2000000000000000000
Battle of Byeokjegwan;1593;1;20000;4000;0.2000000000000000000
Battle of Bushy Run;1763;0;300;60;0.2000000000000000000
Battle of Blore Heath;1459;0;5000;1000;0.2000000000000000000
Battle of Blore Heath;1459;1;10000;2000;0.2000000000000000000
Battle of Bothwell Bridge;1679;0;3000;600;0.2000000000000000000
Battle of Great Bridge;1775;1;400;80;0.2000000000000000000
Battle of Gross-Jägersdorf;1757;0;25500;5000;0.1960784313725490196
Battle of Vienna;1683;0;85000;16500;0.1941176470588235294
Battle of Seneffe;1674;1;62000;12000;0.1935483870967741935
Battle of Knocknanuss;1647;1;5200;1000;0.1923076923076923076
Great Swamp Fight;1675;0;1150;220;0.1913043478260869565
Battle of Warsaw;1705;1;9500;1800;0.1894736842105263157
Siege of Savannah;1779;0;5050;948;0.1877227722772277227
Battle of Larga;1770;1;80000;15000;0.1875000000000000000
Battle of Morgarten;1315;1;8000;1500;0.1875000000000000000
Battle of Bunker Hill;1775;0;2400;450;0.1875000000000000000
Battle of Oriskany;1777;1;500;93;0.1860000000000000000
Battle of Kettle Creek;1779;0;700;130;0.1857142857142857142
Battle of Soor;1745;1;40200;7444;0.1851741293532338308
Battle of Mobile;1781;0;200;37;0.1850000000000000000
Battle of Bloody Creek;1757;0;130;24;0.1846153846153846153
Battle of Almenar;1710;0;22000;4000;0.1818181818181818181
Battle of Kilcullen;1798;1;220;40;0.1818181818181818181
Battle of Zieleńce;1792;1;11000;2000;0.1818181818181818181
Siege of Toulon;1793;1;22000;4000;0.1818181818181818181
Battle of Villaviciosa;1710;1;14000;2500;0.1785714285714285714
Battle of Rivoli;1797;0;23000;4100;0.1782608695652173913
Battle of Leuthen;1757;0;36000;6344;0.1762222222222222222
Battle of Madonna dell'Olmo;1744;1;25000;4400;0.1760000000000000000
Battle of Nieuwpoort;1600;0;11400;2000;0.1754385964912280701
Siege of Bergen op Zoom;1747;1;30000;5259;0.1753000000000000000
Second Battle of Boulou;1794;1;20000;3500;0.1750000000000000000
Battle of Berestechko;1651;0;200000;35000;0.1750000000000000000
Battle of Isokyro;1714;1;11000;1921;0.1746363636363636363
Battle of Garigliano;1503;0;23000;4000;0.1739130434782608695
Battle of Rocroi;1643;0;23000;4000;0.1739130434782608695
