Name;Year;TotalStrength
Battle of Bloody Bay;1480;0
Granada War;1482;0
Battle of Negropont;1470;0
Battle of Polesella;1509;0
Battle of Sauchieburn;1488;0
Battle of Drumchatt (1497);1497;0
Battle of Modon;1500;0
The Wars of Castro;1641;0
Battle of Tuttlingen;1643;0
Battle of Lostwithiel;1644;0
Action of 30 September 1639;1639;0
Battle of the Downs;1639;0
Battle of Malacca;1640;0
Battle of Albrolhos (1631);1631;0
Battle of Rain or Battle of Lech
or
Battle of the River Lech;1632;0
Sack of Magdeburg;1631;0
Siege of Pembroke;1648;0
Battle of Puerto de Cavite;1647;0
Battle of Leghorn;1653;0
Battle of Portland;1653;0
Battle of Scheveningen;1653;0
Battle of the Gabbard;1653;0
Action of 2 May 1654;1654;0
Action of 23 March 1654;1654;0
Battle of Arras;1654;0
Battle of Bantry Bay;1689;0
Battle of Beachy Head;1690;0
Battle of Leuze;1691;0
Battle of Barfleur–La Hougue;1692;0
Battle of Lagos;1693;0
Battle of Augusta;1676;0
Battle of Bornholm;1676;0
Battle of Saint-Denis;1678;0
Battle of Bhangani;1686;0
Battle of Drumclog;1679;0
Final Battle of Saraighat;1671;0
Battle of Solebay;1672;0
Battle of Vågen;1665;0
Four Days' Battle;1666;0
St James' Day Battle;1666;0
Battle of Texel;1673;0
Siege of Bonn;1673;0
Battle of Lowestoft;1665;0
Battle of Cape Rachado;1606;0
Battle of Gibraltar;1607;0
Battle of Tennōji;1615;0
Battle of Lutter;1626;0
Battle of Oliwa;1627;0
Battle in the Bay of Matanzas;1628;0
Action of 1 February 1625;1625;0
Battle of Hansan Island;1592;0
Battle of Okpo;1592;0
Battle of Zutphen;1586;0
Battle of Chilchonryang;1597;0
Battle of Myeongnyang;1597;0
Battle of Noryang;1598;0
Battle of Bantam;1601;0
Dutch-Portuguese War;1601;0
Siege of Iwamura;1572;0
Battle of Haarlemmermeer;1573;0
Siege of Futamata;1572;0
Battle of Reimerswaal;1574;0
Siege of Itami (1574);1574;0
Battle of Nagashino;1575;0
First Battle of Kizugawaguchi;1576;0
Siege of Mitsuji;1576;0
Battle of Lillo;1574;0
Second Siege of Takatenjin;1580;0
Siege of Tottori;1581;0
Battle of Uchidehama;1582;0
Siege of Kyoto;1582;0
Siege of Takamatsu;1582;0
Siege of Kōzuki Castle;1578;0
Siege of Miki;1578;0
Siege of Itami (1579);1579;0
Battle of Azukizaka;1564;0
Battle of Renty;1554;0
Battle of Garbharry;1555;0
Battle of Djerba;1560;0
Battle of Jarnac;1569;0
Siege of Chōkōji;1570;0
Battle of Camperdown;1797;0
Battle of Cape St. Vincent;1797;0
Battle of the Nile;1798;0
Glorious First of June;1794;0
Battle of Cuddalore;1783;0
Battle of Fort Wayne;1790;0
Battle of Fallen Timbers;1794;0
Battle of Paulus Hook;1779;0
Battle of Stony Point;1779;0
Battle of Chillicothe;1779;0
Battle of Grenada;1779;0
Battle of St. Lucia;1778;0
Battle of Ushant;1778;0
Battle of Camden;1780;0
Battle of Cape St. Vincent;1780;0
Battle of Martinique;1780;0
Battle of Dogger Bank;1781;0
