333;Araki Murashige;http://en.wikipedia.org/wiki/Araki_Murashige
334;Saika Ikki;http://en.wikipedia.org/wiki/Saika_Ikki
335;Bessho Nagaharu;http://en.wikipedia.org/wiki/Bessho_Nagaharu
336;Akechi Mitsuhide;http://en.wikipedia.org/wiki/Akechi_Mitsuhide
337;Oda Nobutaka;http://en.wikipedia.org/wiki/Oda_Nobutaka
338;Georgia (country);http://en.wikipedia.org/wiki/Georgia_(country)
339;Chōsokabe Motochika;http://en.wikipedia.org/wiki/Ch%C5%8Dsokabe_Motochika
340; Royalist Army;NULL
341;Royal Army (Catholics);NULL
342;Huguenots, German and Swiss mercenaires;NULL
343;Polish–Lithuanian Commonwealth;http://en.wikipedia.org/wiki/Polish%E2%80%93Lithuanian_Commonwealth
344;Sigismund III Vasa;http://en.wikipedia.org/wiki/Sigismund_III_Vasa
345;French Royal Army;NULL
346;Catholic League (French);http://en.wikipedia.org/wiki/Catholic_League_(French)
347;Japanese forces;NULL
348;Korean forces;NULL
349;Japanese army;NULL
350;Korean army;NULL
351;Korean navy;NULL
352;Japanese Army;NULL
353;Korean Garrison;NULL
354;Joseon navy;NULL
355;Joseon Navy;http://en.wikipedia.org/wiki/Joseon_Navy
356;Naval history of Japan;http://en.wikipedia.org/wiki/Naval_history_of_Japan
357;Japan;http://en.wikipedia.org/wiki/Japan
358;Korean and Ming allies.;NULL
359;Korean army, citizens;NULL
360;Ming Dynasty army and Korean allies.;NULL
361;Korean (Joseon) army;NULL
362;Korea;http://en.wikipedia.org/wiki/Korea
363;Clan Johnstone;http://en.wikipedia.org/wiki/Clan_Johnstone
364;Clan Maxwell;http://en.wikipedia.org/wiki/Clan_Maxwell
365;Clan Grierson;http://en.wikipedia.org/wiki/Clan_Grierson
366;Clan Pollock;http://en.wikipedia.org/wiki/Clan_Pollock
367;Clan Campbell;http://en.wikipedia.org/wiki/Clan_Campbell
368;Walloons;http://en.wikipedia.org/wiki/Walloons
369;Serbs;http://en.wikipedia.org/wiki/Serbs
370;Cossacks;http://en.wikipedia.org/wiki/Cossacks
371;Poles;http://en.wikipedia.org/wiki/Poles
372;Japanese Left Army;NULL
373;Ming army;NULL
374;Korea and China;NULL
375;Gaelic Ireland;http://en.wikipedia.org/wiki/Gaelic_Ireland
376;Polish–Swedish union;http://en.wikipedia.org/wiki/Polish%E2%80%93Swedish_union
377;Joseon;http://en.wikipedia.org/wiki/Joseon
378;China;http://en.wikipedia.org/wiki/China
379;Toyotomi Hideyori;http://en.wikipedia.org/wiki/Toyotomi_Hideyori
380;Army of False Dmitry I;NULL
381;Duchy of Courland and Semigallia;http://en.wikipedia.org/wiki/Duchy_of_Courland_and_Semigallia
382;Cossacks, Tatars and other minorities;NULL
383;German, Scottish and Dutch mercenaries;NULL
384; Polish-Lithuanian Commonwealth;NULL
385;History of Sweden (1523–1611);http://en.wikipedia.org/wiki/History_of_Sweden_(1523%E2%80%931611)
386;Norway;http://en.wikipedia.org/wiki/Norway
387;Tokugawa shogunate;http://en.wikipedia.org/wiki/Tokugawa_shogunate
388;Toyotomi clan;http://en.wikipedia.org/wiki/Toyotomi_clan
389;Bohemia;http://en.wikipedia.org/wiki/Bohemia
390;Manchus;NULL
391;Catholic League (German);http://en.wikipedia.org/wiki/Catholic_League_(German)
392;Registered Cossacks;http://en.wikipedia.org/wiki/Registered_Cossacks
393;Protestant Union;http://en.wikipedia.org/wiki/Protestant_Union
394; Brunswick-Lüneburg;NULL
395;Baden;http://en.wikipedia.org/wiki/Baden
396;Bishopric of Halberstadt;http://en.wikipedia.org/wiki/Bishopric_of_Halberstadt
397;Iberian Union;http://en.wikipedia.org/wiki/Iberian_Union
398;Swedish Empire;http://en.wikipedia.org/wiki/Swedish_Empire
399;Lower Saxon Circle;http://en.wikipedia.org/wiki/Lower_Saxon_Circle
400;Kingdom of Cochin;http://en.wikipedia.org/wiki/Kingdom_of_Cochin
401;Johor Sultanate;http://en.wikipedia.org/wiki/Johor_Sultanate
402;Kingdom of Kandy;http://en.wikipedia.org/wiki/Kingdom_of_Kandy
403;Kingdom of Kongo;http://en.wikipedia.org/wiki/Kingdom_of_Kongo
404;Kingdom of Ndongo;http://en.wikipedia.org/wiki/Kingdom_of_Ndongo
405;Nhandui Tarairiu Tribe;NULL
406;Magdeburg;http://en.wikipedia.org/wiki/Magdeburg
407;Kingdom of Croatia (Habsburg);http://en.wikipedia.org/wiki/Kingdom_of_Croatia_(Habsburg)
408;Cavalier;http://en.wikipedia.org/wiki/Cavalier
409;Roundhead;http://en.wikipedia.org/wiki/Roundhead
410;Parliamentarians;NULL
411;Parliament of England;http://en.wikipedia.org/wiki/Parliament_of_England
412;Electorate of Bavaria;http://en.wikipedia.org/wiki/Electorate_of_Bavaria
